datasets,samples,folders
LP29_D0,D0,/projects/b1042/GoyalLab/egrody/extractedData/EGS004/singleCell/counts/Mmul_10_mac239v5/
LP29_D195,D195,/projects/b1042/GoyalLab/egrody/extractedData/EGS004/singleCell/counts/Mmul_10_mac239v5/
LP29_D83,D83,/projects/b1042/GoyalLab/egrody/extractedData/EGS004/singleCell/counts/Mmul_10_mac239v5/
Invitro_CD4,Invitro,/projects/b1042/GoyalLab/egrody/extractedData/EGS002/singleCell/counts/Mmul_10_mac239v5/
P_acute_GEX,Pacute,/projects/b1042/GoyalLab/egrody/extractedData/EGS009/singleCell/counts/
HD88_W0,W0,/projects/b1042/GoyalLab/egrody/extractedData/EGS002/singleCell/counts/Mmul_10_mac239v5/
A8R095_W2,W2,/projects/b1042/GoyalLab/egrody/extractedData/EGS002/singleCell/counts/Mmul_10_mac239v5/
